RaceNumber,FirstName,LastName,Position,Points
255,Димитър,ТИНЧЕВ,1,25
347,Димитър,ИЛИЕВ,2,22
94,Димитър,ЦВЕТКОВ,3,20
811,Иван,ЦОНЧЕВ,4,18
294,Александър,Кабакчиев,5,16
107,Калоян,ТОДОРОВ,6,15
34,Георги,ГЕОРГИЕВ,7,14
772,Валентин,РОГЛЕВ,8,13
9,Константин,ИВАНОВ,9,12
400,Иван,ГЕНЧЕВ,10,11
421,Даниел,СЛАВКОВ,11,10
307,Милен,ДИМИТРОВ,12,9
31,Христо,МИХОВ,13,8
464,Иван,САРПИОНОВ,14,7
180,Николай,СЛАВОВ,15,6
295,Румен,ЙОРДАНОВ,16,5
862,Иво,ГЕОРГИЕВ,17,4
51,Марио,ЗАРОВ,18,3
57,Петър,ПЕТРОВ,19,2
201,Иван,ХРИСТОВ,20,1
804,Александър,КРЪШНЯК,21,0
117,Димитър,ХРИСТОВ,22,0
600,Илиян,ГЕЧОВ,23,0
14,Георги,ПЕТКОВ,24,0
274,Иван,ЧУКУРОВ,25,0
771,Марио,ЧАНГАЛОВ,26,0
111,Синан,СЕИДОВ,27,0
84,Мартин,ИВАНОВ,28,0
118,Петър,БЕНЧЕВ,29,0
44,Стефан,ДЕЛЕВ,30,0
257,Николай,НИКОЛАЕВ,31,0
203,Веско,ПАСПАЛЕВ,32,0
222,Борислав,ВЕЛИКОВ,33,0
47,Ангел,ТРАНДОВ,34,0
27,Методи,ТРЕНЧЕВ,35,0
18,Павел,Цацов,36,0
